"","yhat","se","yexp","diff","rf_result","real_y_rf"
"295",523.110151285375,0.253169209886391,524.556468503444,1.44631721806866,524.241771716237,525.585026928195
"296",523.508887435336,0.385104690141587,524.140287034415,0.6313995990796,524.851774543352,525.037689604546
"297",522.903851331348,0.454772754652202,524.692787696313,1.78893636496423,524.244700343422,524.556468503444
"298",520.278232114292,0.336762756000657,519.525551629109,-0.752680485183419,519.774729503894,519.525551629109
"299",519.051470963793,0.232314422165213,517.075311724793,-1.97615923900003,517.965794019233,517.075311724793
"301",519.565213534992,0.255414432518744,518.418240950209,-1.1469725847827,520.621142252024,521.182024298344
"302",519.899386699115,0.348745252673486,518.328632818811,-1.57075388030444,520.597017896285,520.740816948164
"305",528.685343220944,0.194569381690508,533.934818546531,5.2494753255869,532.105573733847,533.934818546531
"306",516.003046019194,0.129032219299036,512.802976694794,-3.20006932440026,514.11321218131,512.802976694794
"307",526.278707361735,0.345403537282029,531.316749249043,5.03804188730783,524.276335457759,525.171708546439
"308",513.2529216313,0.244491324165678,507.906855850094,-5.34606578120514,517.380869201542,517.127027571225
"309",523.529888594873,0.346438833962234,525.171708546439,1.64181995156559,515.223902740491,512.184075102619
"313",522.139012561318,0.163926853495947,522.336574858818,0.197562297499985,514.530855499179,513.072621413063
"314",526.363283214834,0.369330725423448,529.517086211236,3.15380299640162,522.478964780511,522.336574858818
"315",525.94040346185,0.280447409330074,527.35887333935,1.41846987749977,528.04933376327,529.517086211236
"316",524.514420288513,0.318405282797305,526.141214926396,1.62679463788345,518.688079292142,518.834374936005
"318",518.67520579923,0.346550148091308,518.834374936005,0.159169136775517,524.16815490462,525.089687059814
"320",523.352655367114,0.346846605979694,525.089687059814,1.73703169270027,520.488927011811,520.020343495408
"321",519.335546994249,0.259594594775291,520.369890998342,1.03434400409355,513.775598094113,513.128834250312
"322",514.025275691814,0.337071541968104,512.901073367707,-1.12420232410614,530.122752158827,534.167109554136
"325",517.671442693533,0.28910828770689,515.920678092603,-1.7507646009301,528.502060285507,528.999987537015
"328",514.71076231691,0.412357627231885,512.932231252216,-1.77853106469422,522.003363874428,522.361995864059
"330",528.039830059219,0.718661906866944,534.167109554136,6.12727949491659,527.261932882474,527.717125938443
"332",525.804152134103,0.404318314006614,528.999987537015,3.19583540291228,515.910624329226,515.248825973177
"334",526.242859303768,0.534973872066102,527.717125938443,1.47426663467525,528.068112786862,532.279953284228
"335",520.485893476814,0.238773436620993,518.695843376058,-1.79005010075639,515.810273095885,514.535982482165
"339",518.394583246953,0.16764461226307,517.381598497279,-1.01298474967393,518.335698978819,517.381598497279
"340",522.655335452242,0.152009545510304,521.891750684245,-0.763584767996008,522.429649983903,521.891750684245
"342",519.813298595041,0.301759820884452,516.244364098738,-3.56893449630343,514.861718687124,515.373933289215
"344",515.133014272653,0.243214626668276,512.464759314125,-2.66825495852754,517.942886839071,516.244364098738
"347",520.667534191665,0.280948718001968,518.851000405926,-1.81653378573924,518.589722825801,517.733232132225
"348",515.691457394583,0.301889662639708,513.800519283296,-1.89093811128703,520.544338441175,518.851000405926
"351",522.306834219081,0.37168769885315,521.409234413276,-0.897599805804589,515.420035003024,513.800519283296
"352",517.796704376883,0.229262806438813,516.957768005627,-0.838936371256295,518.283065181921,517.488622120943
"354",516.213149801335,0.236261751141159,513.862304807188,-2.35084499414745,517.375479927759,516.957768005627
"356",516.245723949767,0.299264266534668,515.949870990678,-0.295852959089189,521.064710538571,521.648064465831
"357",519.459300195354,0.266447735722102,518.713718907094,-0.7455812882597,522.175143085938,522.692008982773
"363",525.246840121585,0.345499572981923,530.981319986094,5.73447986450856,529.142125527802,530.561131919332
"366",524.615193262065,0.284335873351311,529.648455112775,5.03326185070978,529.138280024611,530.981319986094
"367",525.726173399272,0.254779612023344,527.123093653309,1.3969202540369,521.24618613401,521.346699966797
"368",515.707764704475,0.323552303019171,510.115889876773,-5.59187482770221,520.392327257802,520.218755931216
"369",524.171879819927,0.40837196795969,526.397571667661,2.22569184773386,526.808869356686,527.123093653309
"371",516.317467407094,0.22532607307491,515.278545870242,-1.03892153685115,526.281343292763,526.397571667661
"373",522.38793028264,0.290985377437161,521.511679091499,-0.876251191140796,516.454820915313,516.517252551695
"375",522.606695070687,0.316728859647356,523.036983742708,0.430288672021106,515.082006164485,515.278545870242
"378",515.896972486755,0.342294558962973,514.874702338484,-1.02227014827133,517.054435007617,517.544039790322
"380",521.854358773504,0.205056204052058,523.908426535546,2.05406776204245,517.376469089169,516.664401532982
